Initialize MPU6050



 * Sleep Mode:            Disabled

 * Clock Source:          PLL with X axis gyroscope reference

 * Accelerometer:         +/- 2 g

 * Accelerometer offsets: -1508 / -835 / 1388



 Xraw = -5056.00 Yraw = 15388.00 Zraw = 8072.00

 Xnorm = -2.98 Ynorm = 9.21 Znorm = 4.91

 Xraw = -3352.00 Yraw = 13544.00 Zraw = 10596.00

 Xnorm = -2.03 Ynorm = 8.23 Znorm = 6.33

 Xraw = -1420.00 Yraw = 13268.00 Zraw = 12956.00

 Xnorm = -1.11 Ynorm = 7.89 Znorm = 7.87

 Xraw = -4692.00 Yraw = 8468.00 Zraw = 9556.00

 Xnorm = -2.58 Ynorm = 5.11 Znorm = 5.75

 Xraw = -3932.00 Yraw = 7840.00 Zraw = 7608.00

 Xnorm = -2.40 Ynorm = 4.15 Znorm = 4.94

 Xraw = -3496.00 Yraw = 5128.00 Zraw = 7628.00

 Xnorm = -1.50 Ynorm = 3.01 Znorm = 4.41

 Xraw = -2688.00 Yraw = 8620.00 Zraw = 13656.00

 Xnorm = -1.26 Ynorm = 5.36 Znorm = 8.65

 Xraw = -600.00 Yraw = 12892.00 Zraw = 14940.00

 Xnorm = 0.00 Ynorm = 7.70 Znorm = 9.46

 Xraw = 2284.00 Yraw = 13172.00 Zraw = 19680.00

 Xnorm = 1.38 Ynorm = 8.40 Znorm = 11.77

 Xraw = 2160.00 Yraw = 14388.00 Zraw = 21264.00

 Xnorm = 1.25 Ynorm = 8.20 Znorm = 13.29

 Xraw = 316.00 Yraw = 12284.00 Zraw = 17076.00

 Xnorm = 0.18 Ynorm = 7.74 Znorm = 9.68

 Xraw = -580.00 Yraw = 11564.00 Zraw = 11436.00

 Xnorm = -0.42 Ynorm = 6.97 Znorm = 6.84

 Xraw = -208.00 Yraw = 15644.00 Zraw = 8376.00

 Xnorm = -0.10 Ynorm = 9.40 Znorm = 5.07

 Xraw = 392.00 Yraw = 15644.00 Zraw = 11140.00

 Xnorm = 0.27 Ynorm = 9.28 Znorm = 6.90

 Xraw = 2048.00 Yraw = 16128.00 Zraw = 18424.00

 Xnorm = 0.28 Ynorm = 10.50 Znorm = 10.20

 Xraw = 4512.00 Yraw = 16336.00 Zraw = 25944.00

 Xnorm = 2.08 Ynorm = 10.19 Znorm = 14.36

 Xraw = -2412.00 Yraw = 18308.00 Zraw = 21416.00

 Xnorm = -1.67 Ynorm = 10.71 Znorm = 11.93

 Xraw = -1700.00 Yraw = 19256.00 Zraw = 14732.00

 Xnorm = -0.80 Ynorm = 11.34 Znorm = 8.99

 Xraw = -1428.00 Yraw = 17812.00 Zraw = 12156.00

 Xnorm = -0.67 Ynorm = 10.66 Znorm = 7.21

 Xraw = -2000.00 Yraw = 17964.00 Zraw = 11852.00

 Xnorm = -1.26 Ynorm = 10.73 Znorm = 7.14

 Xraw = -1952.00 Yraw = 16464.00 Zraw = 14060.00

 Xnorm = -1.17 Ynorm = 9.85 Znorm = 8.41

 Xraw = -1100.00 Yraw = 16036.00 Zraw = 14164.00

 Xnorm = -0.62 Ynorm = 9.63 Znorm = 8.36

 Xraw = -972.00 Yraw = 16000.00 Zraw = 13232.00

 Xnorm = -0.64 Ynorm = 9.52 Znorm = 7.92

 Xraw = -2864.00 Yraw = 15112.00 Zraw = 11564.00

 Xnorm = -1.79 Ynorm = 8.90 Znorm = 6.81

 Xraw = -3672.00 Yraw = 15524.00 Zraw = 8392.00

 Xnorm = -2.20 Ynorm = 9.33 Znorm = 4.86

 Xraw = -1900.00 Yraw = 16856.00 Zraw = 5648.00

 Xnorm = -0.89 Ynorm = 10.14 Znorm = 3.36

 Xraw = -652.00 Yraw = 18896.00 Zraw = 5836.00

 Xnorm = -0.45 Ynorm = 11.35 Znorm = 3.99

 Xraw = -1600.00 Yraw = 20432.00 Zraw = 11280.00

 Xnorm = -0.32 Ynorm = 12.36 Znorm = 7.13

 Xraw = -1460.00 Yraw = 17248.00 Zraw = 12088.00

 Xnorm = -1.36 Ynorm = 10.25 Znorm = 6.21

 Xraw = -3496.00 Yraw = 15344.00 Zraw = 9900.00

 Xnorm = -1.86 Ynorm = 9.28 Znorm = 5.97

 Xraw = -1616.00 Yraw = 13864.00 Zraw = 5284.00

 Xnorm = -1.22 Ynorm = 8.22 Znorm = 3.19

 Xraw = -3940.00 Yraw = 15280.00 Zraw = 2552.00

 Xnorm = -2.07 Ynorm = 9.21 Znorm = 1.89

 Xraw = 3836.00 Yraw = 16384.00 Zraw = 3184.00

 Xnorm = 2.68 Ynorm = 9.92 Znorm = 2.13

 Xraw = 5672.00 Yraw = 20268.00 Zraw = 6596.00

 Xnorm = 3.39 Ynorm = 12.12 Znorm = 3.95

 Xraw = 5576.00 Yraw = 20620.00 Zraw = 8224.00

 Xnorm = 3.14 Ynorm = 12.34 Znorm = 4.88

 Xraw = 1836.00 Yraw = 20668.00 Zraw = 7192.00

 Xnorm = 0.89 Ynorm = 12.28 Znorm = 4.35

 Xraw = -1708.00 Yraw = 20068.00 Zraw = 4988.00

 Xnorm = -1.00 Ynorm = 11.63 Znorm = 3.19

 Xraw = -3048.00 Yraw = 18856.00 Zraw = 392.00

 Xnorm = -1.26 Ynorm = 10.68 Znorm = 0.13

 Xraw = 1032.00 Yraw = 19988.00 Zraw = -1616.00

 Xnorm = 1.11 Ynorm = 11.78 Znorm = -0.79

 Xraw = 2820.00 Yraw = 18804.00 Zraw = -3640.00

 Xnorm = 1.49 Ynorm = 11.07 Znorm = -2.66

 Xraw = 2412.00 Yraw = 16840.00 Zraw = -3764.00

 Xnorm = 1.72 Ynorm = 9.85 Znorm = -2.23

 Xraw = 3244.00 Yraw = 17120.00 Zraw = -2056.00

 Xnorm = 1.82 Ynorm = 10.27 Znorm = -1.27

 Xraw = 2152.00 Yraw = 15716.00 Zraw = 452.00

 Xnorm = 0.97 Ynorm = 9.28 Znorm = 0.44

 Xraw = 2424.00 Yraw = 13660.00 Zraw = 2948.00

 Xnorm = 1.32 Ynorm = 8.18 Znorm = 1.92

 Xraw = 5008.00 Yraw = 16532.00 Zraw = 112.00

 Xnorm = 3.17 Ynorm = 9.57 Znorm = 0.07

 Xraw = 6180.00 Yraw = 14296.00 Zraw = -3408.00

 Xnorm = 4.43 Ynorm = 8.61 Znorm = -1.94

 Xraw = 5852.00 Yraw = 15636.00 Zraw = -3908.00

 Xnorm = 2.72 Ynorm = 9.48 Znorm = -2.69

 Xraw = 11280.00 Yraw = 15212.00 Zraw = -2332.00

 Xnorm = 7.14 Ynorm = 8.93 Znorm = -1.96

 Xraw = 7676.00 Yraw = 20948.00 Zraw = -1472.00

 Xnorm = 4.84 Ynorm = 12.57 Znorm = -0.10

 Xraw = 13656.00 Yraw = 15596.00 Zraw = -1056.00

 Xnorm = 8.45 Ynorm = 9.45 Znorm = 0.63

 Xraw = 11360.00 Yraw = 14996.00 Zraw = 2956.00

 Xnorm = 7.17 Ynorm = 8.57 Znorm = 1.91

 Xraw = 16192.00 Yraw = 6260.00 Zraw = 5100.00

 Xnorm = 9.56 Ynorm = 3.29 Znorm = 3.24

 Xraw = 9992.00 Yraw = 9108.00 Zraw = -1020.00

 Xnorm = 6.22 Ynorm = 6.00 Znorm = 0.23

 Xraw = 19164.00 Yraw = 13848.00 Zraw = 1956.00

 Xnorm = 11.66 Ynorm = 8.45 Znorm = 1.22

 Xraw = 15760.00 Yraw = 22404.00 Zraw = 1220.00

 Xnorm = 9.24 Ynorm = 13.75 Znorm = 0.63

 Xraw = 18296.00 Yraw = 21560.00 Zraw = 3024.00

 Xnorm = 10.94 Ynorm = 12.90 Znorm = 1.81

 Xraw = 16036.00 Yraw = 8724.00 Zraw = 4300.00
